number,Unnamed: 0_x,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,dubious,Unnamed: 0.1,Unnamed: 0_y,script_name,movie_name,male_percen,nonmale_percentage,dialogue_score,bechdel_score
45,45,1289401,Ghostbusters,80s,Fantasy,Ivan Reitman,2016,3,0,27,27,ghostbuster.php,Ghostbusters,86.68,13.32,25,0
46,46,88763,Back to the Future,80s,SCI-FI,Robert Zemeckis,1985,2,,14,14,backtothefuture.pdf,Back to the Future,83.52,16.48,25,13.33
47,47,92099,Top Gun,80s,Action,Tony Scott,1986,2,0,62,62,top-gun-1986.pdf,Top Gun,94.1,5.9,25,13.33
48,48,92644,Beverly Hills Cop II,80s,Action,Tony Scott,1987,1,0,18,18,beverly-hills-copII.pdf,Beverly Hills Cop II,90.93,9.07,25,26.66
49,49,96438,Who Framed Roger Rabbit,80s,Animation,Robert Zemeckis,1988,1,,44,44,rogerrabbit.php,Who Framed Roger Rabbit,91.12,8.88,25,26.66
50,50,81573,Superman II,80s,Action,Richard Lester,1980,3,1,56,56,supermanII.pdf,Superman II,75.89,24.11,25,0
51,51,120338,Titanic,90s,Drama,James Cameron,1997,3,,61,61,titanic-numbered.pdf,Titanic,63.33,36.67,16.6625,0
52,52,120915,Star Wars: Episode I - The Phantom Menace,90s,SCI-FI,George Lucas,1999,3,0,54,54,starwars_thephantomenace.php,Star Wars: Episode I - The Phantom Menace,79.7,20.3,25,0
53,53,107290,Jurassic Park,90s,SCI-FI,Steven Spielberg,1993,3,,34,34,jurassicpark.php,Jurassic Park,85.14,14.86,25,0
54,54,116629,Independence Day,90s,SCI-FI,Roland Emmerich,1996,3,0,32,32,independenceday.php,Independence Day,85.05,14.95,25,0
55,55,109830,Forrest Gump,90s,Drama,Robert Zemeckis,1994,1,0,24,24,forrestgump.php,Forrest Gump,86.68,13.32,25,26.66
56,56,119654,Men in Black,90s,SCI-FI,Barry Sonnenfeld,1997,1,,37,37,meninblack.php,Men in Black,89.07,10.93,25,26.66
57,57,99653,Ghost,90s,Romance,Jerry Zucker,1990,3,0,26,26,ghost.pdf,Ghost,54.87,45.13,6.0875,0
