,imdbid,Title,Decade,Genre,Director,year,rating,dubious
0,62622.0,2001: A Space Odyssey,60s,SCI-FI,Stanley Kubrick,1968.0,0.0,0.0
1,56172.0,Lawrence of Arabia,60s,Action,David Lean,1962.0,0.0,0.0
2,80684.0,Star Wars: Episode V - The Empire Strikes Back,80s,SCI-FI,George Lucas,1980.0,0.0,0.0
3,103776.0,Batman Returns,90s,Action,Tim Burton,1992.0,0.0,0.0
4,120755.0,Mission Impossible II,2000s,Action,John Woo,2000.0,0.0,0.0
