,imdb,Movie,Writer,Gender,male_percentage,nonmale_percentage
89,tt0034583,Casablanca,Julius J. Epstein,male,67.4,32.6
90,tt0034583,Casablanca,Philip G. Epstein,male,67.4,32.6
91,tt0034583,Casablanca,Howard W. Koch,male,67.4,32.6
92,tt0034583,Casablanca,Howard Koch,male,67.4,32.6
93,tt0092644,Beverly Hills Cop II,David Giler,male,90.93,9.07
94,tt0092644,Beverly Hills Cop II,Dennis Klein,male,90.93,9.07
95,tt0092644,Beverly Hills Cop II,Larry Ferguson,male,90.93,9.07
96,tt0092644,Beverly Hills Cop II,Warren Skaaren,male,90.93,9.07
97,tt0096895,Batman,Sam Hamm,male,74.99,25.01
98,tt0096895,Batman,Warren Skaaren,male,74.99,25.01
99,tt0096895,Batman,Bill Finger,male,74.99,25.01
100,tt0038969,Song of the South,Dalton Reymond,male,84.1,15.9
101,tt0038969,Song of the South,Maurice Rapf,male,84.1,15.9
102,tt0038969,Song of the South,Morton Grant,male,84.1,15.9
103,tt0038969,Song of the South,Vernon Stallings,male,84.1,15.9
104,tt0038969,Song of the South,Bill Peet,male,84.1,15.9
105,tt0038969,Song of the South,Ralph Wright,male,84.1,15.9
106,tt0145487,Spider-Man,Scott Rosenberg,male,86.44,13.56
107,tt0145487,Spider-Man,David Koepp,male,86.44,13.56
108,tt0145487,Spider-Man,Alvin Sargent,male,86.44,13.56
109,tt0071230,Blazing Saddles,Mel Brooks,male,87.21,12.79
110,tt0071230,Blazing Saddles,Richard Pryor,male,87.21,12.79
111,tt0071230,Blazing Saddles,Andrew Bergman,male,87.21,12.79
112,tt0087332,Ghostbusters,Dan Aykroyd,male,86.68,13.32
113,tt0087332,Ghostbusters,Harold Ramis,male,86.68,13.32
114,tt0107290,Jurassic Park,Michael Crichton,male,85.14,14.86
115,tt0107290,Jurassic Park,David Koepp,male,85.14,14.86
116,tt0088763,Back to the Future,Robert Zemeckis,male,83.52,16.48
117,tt0088763,Back to the Future,Bob Gale,male,83.52,16.48
118,tt2488496,Star Wars Episode VII: The Force Awakens,J. J. Abrams,male,78.99,21.01
119,tt2488496,Star Wars Episode VII: The Force Awakens,Lawrence Kasdan,male,78.99,21.01
120,tt2488496,Star Wars Episode VII: The Force Awakens,Michael Arndt,male,78.99,21.01
121,tt0054215,Psycho,Joseph Stefano,male,66.59,33.41
122,tt0054215,Psycho,Robert Bloch,male,66.59,33.41
123,tt0073195,Jaws,Peter Benchley,male,90.84,9.16
124,tt0073195,Jaws,Carl Gottlieb,male,90.84,9.16
125,tt1201607,Harry Potter and the Deathly Hallows – Part 2,Steve Kloves,male,78.1,21.9
126,tt0417741,Harry Potter and the Half-Blood Prince,Steve Kloves,male,79.64,20.36
127,tt0058331,Mary Poppins,Bill Walsh,male,53.54,46.46
128,tt0058331,Mary Poppins,Don DaGradi,male,53.54,46.46
129,tt0112462,Batman Forever,Akiva Goldsman,male,96.84,3.16
130,tt0316654,Spider-Man 2,Alvin Sargent,male,84.22,15.78
131,tt0061722,The Graduate,Calder Willingham,male,69.42,30.58
132,tt0061722,The Graduate,Buck Henry,male,69.42,30.58
133,tt0109830,Forrest Gump,Winston Groom,male,86.68,13.32
134,tt0109830,Forrest Gump,Eric Roth,male,86.68,13.32
135,tt0064115,Butch Cassidy and the Sundance Kid,William Goldman,male,86.05,13.95
136,tt0119654,Men in Black,Ed Solomon,male,89.07,10.93
137,tt0120755,Mission: Impossible 2,Brannon Braga,male,97.43,2.57
138,tt0120755,Mission: Impossible 2,Ronald D. Moore,male,97.43,2.57
139,tt0120755,Mission: Impossible 2,Robert Towne,male,97.43,2.57
140,tt0070047,The Exorcist,William Peter Blatty,male,83.91,16.09
141,tt0060164,The Bible: In the Beginning...,Christopher Fry,male,62.03,37.97
142,tt2527336,Star Wars: Episode VIII – The Last Jedi,Rian Johnson,male,62.84,37.16
143,tt0383574,Pirates of the Caribbean: Dead Man's Chest,Terry Rossio,male,83.66,16.34
144,tt0383574,Pirates of the Caribbean: Dead Man's Chest,Ted Elliott,male,83.66,16.34
145,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Terry Rossio,male,87.36,12.64
146,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Ted Elliott,male,87.36,12.64
147,tt0099653,Ghost,Bruce Joel Rubin,male,54.87,45.13
148,tt0045793,From Here to Eternity,Daniel Taradash,male,72.92,27.08
149,tt0103776,Batman Returns,Daniel Waters,male,61.76,38.24
150,tt0103776,Batman Returns,Wesley Strick,male,61.76,38.24
151,tt0055614,West Side Story,Ernest Lehman,male,67.31,32.69
152,tt0059742,The Sound of Music,Ernest Lehman,male,25.29,74.71
153,tt0067093,Fiddler on the Roof,Joseph Stein,male,46.9,53.1
