Title,Decade,Genre,Director,Reviews
Men in Black,90s,SCI-FI,Barry Sonnenfeld,https://www.imdb.com/title/tt0119654/reviews?ref_=tt_urv
Ghost,90s,Romance,Jerry Zucker,https://www.imdb.com/title/tt0099653/reviews?ref_=tt_urv
Terminator 2: Judgment Day,90s,Action,James Cameron,https://www.imdb.com/title/tt0103064/reviews?ref_=tt_urv
Batman Returns,90s,Action,Tim Burton,https://www.imdb.com/title/tt0103776/reviews?ref_=tt_urv
Batman Forever,90s,Action,Joel Schumacher,https://www.imdb.com/title/tt0112462/reviews?ref_=tt_urv
The Dark Knight,2000s,Action,Christopher Nolan,https://www.imdb.com/title/tt0468569/reviews?ref_=tt_urv
Pirates of the Caribbean: Dead Mans Chest,2000s,Action,Gore Verbinski,https://www.imdb.com/title/tt0383574/reviews?ref_=tt_urv
Spiderman,2000s,Action,Sam Raimi,https://www.imdb.com/title/tt0145487/reviews?ref_=tt_urv
Harry Potter and the Half Blood Prince ,2000s,Fantasy,David Yates,https://www.imdb.com/title/tt0417741/reviews?ref_=tt_urv
Star Wars: Episode III - Revenge of the Sith,2000s,SCI-FI,George Lucas,https://www.imdb.com/title/tt0121766/reviews?ref_=tt_urv
Spider-Man 2,2000s,Action,Sam Raimi,https://www.imdb.com/title/tt0316654/reviews?ref_=tt_urv
Transformers,2000s,Action,Michael Bay,https://www.imdb.com/title/tt0418279/reviews?ref_=tt_urv
Pirates of the Caribbean: The Curse of the Black Pearl,2000s,Action,Gore Verbinski,https://www.imdb.com/title/tt0325980/reviews?ref_=tt_urv
Harry Potter and the Sorcerers Stone,2000s,Fantasy,Chris Columbus,https://www.imdb.com/title/tt0241527/reviews?ref_=tt_urv
Mission Impossible II,2000s,Action,John Woo,https://www.imdb.com/title/tt0120755/reviews?ref_=tt_urv
Avengers: Endgame,2010s,Action,"Anthony Russo, Joe Russo",https://www.imdb.com/title/tt4154796/reviews?ref_=tt_urv
Black Panther,2010s,Action,Ryan Coogler,https://www.imdb.com/title/tt1825683/reviews?ref_=tt_urv
Star Wars: The Force Awakens,2010s,SCI-FI,George Lucas,https://www.imdb.com/title/tt2488496/reviews?ref_=tt_urv
The Avengers,2010s,Action,Joss Whedon,https://www.imdb.com/title/tt0848228/reviews?ref_=tt_urv
Star Wars: Episode VIII - The Last Jedi,2010s,SCI-FI,George Lucas,https://www.imdb.com/title/tt2527336/reviews?ref_=tt_urv
Avatar,2010s,SCI-FI,James Cameron,https://www.imdb.com/title/tt0499549/reviews?ref_=tt_urv
Man of Steel,2010s,Action,Zack Snyder,https://www.imdb.com/title/tt0770828/reviews?ref_=tt_urv
Rogue One: A Star Wars Story,2010s,SCI-FI,Gareth Edwards,https://www.imdb.com/title/tt3748528/reviews?ref_=tt_urv
Harry Potter and the Deathly Hallows: Part 2,2010s,Fantasy,David Yates,https://www.imdb.com/title/tt1201607/reviews?ref_=tt_urv
X-Men: Days of Future Past,2010s,Action,Bryan Singer,https://www.imdb.com/title/tt1877832/reviews?ref_=tt_urv
